wn,wp,vdd,temp,cl_ff,tech_node,corner,delay_ps,power_mw,freq_ghz,source
1.266,3.469,0.822,-2.46,18.985,14.0,SS,0.0364,24.7218,13747.0233,physics
2.285,3.516,1.192,-32.41,159.433,14.0,FF,0.0511,234.8275,9792.0393,physics
1.949,0.856,0.666,53.38,158.711,2.0,TT,0.0314,115.3806,15936.0774,physics
0.505,4.374,1.022,-0.26,182.653,7.0,TT,0.1166,85.3444,4288.8759,physics
2.37,1.382,0.64,-38.45,161.122,5.0,FF,0.0424,80.8026,11800.823,physics
0.891,2.292,0.499,56.95,128.149,0.5,SF,0.0022,769.3519,231827.4862,physics
2.349,1.615,1.05,100.8,22.224,3.0,SF,0.0037,424.7084,134638.2806,physics
1.872,1.585,0.651,-36.38,166.177,0.3,SF,0.0011,3204.2097,440218.2126,physics
0.16,4.346,0.928,120.64,182.213,3.0,MC,0.1432,56.9783,3491.9127,physics
4.184,4.529,0.684,-2.03,160.584,0.7,TT,0.0013,3199.1698,391579.7523,physics
3.15,3.437,0.897,68.76,167.829,5.0,MC,0.0387,185.6264,12928.6774,physics
4.529,3.285,0.835,32.74,116.335,14.0,MC,0.1055,42.6177,4741.0437,physics
0.56,1.581,1.098,-11.02,27.3,7.0,FS,0.0181,102.5767,27669.2839,physics
2.711,4.58,0.815,2.4,165.113,2.0,SF,0.0034,1745.2774,148564.4518,physics
3.763,1.793,0.563,118.88,29.011,3.0,TT,0.0106,56.6228,47054.5341,physics
4.84,4.052,0.583,90.46,3.77,1.0,FS,0.0004,712.6172,1158427.7708,physics
2.339,3.413,1.053,56.45,164.661,14.0,FF,0.0983,98.0922,5086.3145,physics
3.413,2.437,1.022,115.62,66.273,14.0,FS,0.1449,27.2765,3449.7773,physics
3.281,3.232,0.755,75.68,130.199,5.0,SS,0.0604,66.4223,8282.1674,physics
0.341,0.33,1.248,-20.84,47.725,7.0,FS,0.1132,33.5681,4415.9273,physics
2.017,1.949,1.22,74.92,108.498,7.0,FS,0.0748,114.3042,6684.4288,physics
4.441,3.326,1.15,61.58,187.872,7.0,FF,0.0417,317.4822,11979.8693,physics
3.489,1.204,1.245,-1.04,73.175,28.0,MC,0.4964,12.6065,1007.3509,physics
2.777,4.893,0.579,25.69,38.772,2.0,SS,0.003,289.5613,168924.8821,physics
0.567,1.179,0.625,120.23,11.065,0.7,FF,0.0005,548.196,1011187.396,physics
4.945,3.967,0.613,96.92,111.287,5.0,FS,0.042,56.1682,11896.3432,physics
4.088,1.28,0.926,90.13,119.6,5.0,FF,0.0467,117.714,10704.0497,physics
4.939,2.77,1.129,-21.86,173.423,7.0,TT,0.0464,255.0662,10767.4532,physics
1.868,3.974,1.389,-37.4,53.808,28.0,TT,0.077,79.2096,6493.8977,physics
2.687,3.766,0.638,88.37,103.134,1.0,SS,0.0037,622.4853,134699.938,physics
2.579,4.735,0.369,89.23,173.529,0.7,FS,0.0045,279.6265,110819.2035,physics
2.355,4.826,0.533,39.03,80.922,3.0,MC,0.0082,161.1869,61342.7492,physics
2.513,4.562,0.694,-26.67,122.051,14.0,SS,0.1427,22.518,3503.3762,physics
1.462,3.22,0.979,13.66,198.931,7.0,FS,0.0758,130.4617,6592.4805,physics
2.334,3.086,0.555,75.79,170.706,3.0,MC,0.022,125.5945,22723.0002,physics
3.638,1.193,0.544,-2.3,68.447,0.5,SF,0.0016,698.1054,309447.4808,physics
2.15,0.611,0.613,69.74,75.486,1.0,TT,0.0091,165.7711,55188.6796,physics
0.448,4.184,0.39,-24.07,148.02,0.7,TT,0.0063,186.5222,78870.6251,physics
0.413,4.79,0.592,70.55,82.751,0.5,MC,0.0035,455.9446,142752.0092,physics
4.356,3.647,0.884,59.07,70.978,1.0,FS,0.0013,2560.2879,390620.9925,physics
1.158,3.335,0.446,-22.14,169.229,0.5,FF,0.0012,1477.7373,420977.3592,physics
3.842,2.934,1.134,99.45,194.935,14.0,FS,0.2768,47.8139,1806.2102,physics
3.414,2.85,0.612,68.54,139.001,0.3,SS,0.0021,1350.6736,241871.4117,physics
1.454,3.848,1.203,17.92,37.1,7.0,TT,0.0096,343.8665,52056.7376,physics
3.328,0.487,0.669,120.35,19.26,0.3,FS,0.0017,343.1149,301733.6185,physics
1.956,2.35,0.587,11.42,65.552,5.0,FS,0.0288,43.3282,17346.4942,physics
0.535,0.405,0.418,61.94,135.12,0.3,FF,0.0074,162.3177,67991.1189,physics
3.35,2.505,0.54,5.07,151.234,0.7,SS,0.0048,489.9846,104583.465,physics
2.218,1.524,0.739,40.29,133.759,2.0,SS,0.0219,174.5719,22867.1826,physics
2.049,3.057,0.504,9.73,43.036,5.0,TT,0.0149,43.7461,33594.3586,physics
1.533,0.732,0.774,31.06,26.708,3.0,FS,0.0126,72.3028,39755.9049,physics
2.561,4.192,0.943,-28.11,172.491,5.0,SS,0.0286,285.1173,17484.9702,physics
0.211,4.618,0.831,55.0,115.107,1.0,MC,0.0113,375.973,44304.0079,physics
1.533,2.114,0.883,-11.64,189.575,1.0,SF,0.0025,3078.073,201984.3251,physics
0.55,4.246,0.522,57.16,105.269,2.0,SF,0.0131,117.4834,38156.36,physics
3.76,1.225,0.929,-27.4,127.012,3.0,FS,0.0202,288.1537,24723.7554,physics
1.066,3.915,0.501,118.11,129.443,0.5,TT,0.0026,657.0545,190423.0558,physics
0.622,1.391,0.595,-14.78,152.071,5.0,SS,0.1253,21.9502,3992.0029,physics
4.762,3.196,0.928,53.02,116.314,7.0,MC,0.0576,96.5257,8679.484,physics
3.258,4.935,0.489,120.21,63.912,0.3,SF,0.0005,1974.5455,1070813.3608,physics
2.408,3.212,1.128,57.58,71.037,14.0,SS,0.1163,43.7987,4297.8141,physics
2.373,0.332,0.703,7.37,129.289,3.0,SS,0.1674,19.7283,2986.8759,physics
3.019,2.015,0.6,117.45,148.045,0.3,SS,0.0038,736.2582,130968.3573,physics
4.556,2.923,0.431,59.83,100.772,0.7,SS,0.0047,222.0288,105938.4893,physics
0.625,4.511,0.498,77.86,101.405,0.7,TT,0.0042,323.8589,119059.6461,physics
1.329,2.273,1.239,46.25,32.59,28.0,FF,0.0958,30.7485,5216.9082,physics
2.011,3.906,0.873,-31.36,126.546,3.0,FF,0.0036,1431.7714,138053.7763,physics
1.729,2.856,0.882,1.58,170.462,14.0,FS,0.2,34.5879,2499.9517,physics
1.747,2.976,0.735,17.72,193.572,7.0,MC,0.0911,59.6753,5490.7154,physics
0.749,3.588,0.442,52.22,129.055,1.0,FF,0.0038,347.9767,130926.3371,physics
3.39,4.17,1.093,73.09,105.752,7.0,MC,0.0324,217.7434,15454.8319,physics
2.601,0.238,0.554,116.94,69.005,1.0,SF,0.024,46.9768,20801.9914,physics
1.226,0.817,0.542,99.33,21.127,5.0,FS,0.0453,7.9184,11038.4674,physics
0.304,1.783,0.68,-18.38,75.967,0.5,TT,0.0021,891.676,243081.2927,physics
4.177,3.89,1.135,-12.69,88.097,7.0,SF,0.0158,412.4637,31670.748,physics
3.421,1.302,0.622,7.01,149.959,2.0,SF,0.0142,215.1294,35289.5437,physics
2.726,1.651,0.945,37.39,167.188,5.0,FF,0.0381,204.1801,13121.9663,physics
4.924,2.389,0.471,23.01,105.964,0.3,TT,0.0012,1093.2565,418528.7789,physics
4.03,0.821,0.638,65.79,174.949,5.0,FS,0.2488,14.9518,2009.8168,physics
3.592,2.652,0.725,-26.16,32.902,14.0,SF,0.0371,30.4142,13467.854,physics
0.839,2.272,0.757,-3.36,90.774,0.5,FF,0.0006,4543.8062,827791.1536,physics
2.145,2.073,1.174,23.72,17.239,28.0,TT,0.0938,17.6553,5329.3781,physics
1.675,0.631,1.515,15.32,30.064,28.0,SS,0.5451,7.1116,917.2383,physics
4.597,2.441,0.957,85.21,94.353,3.0,FS,0.0136,356.4558,36823.959,physics
4.541,0.242,1.016,-15.33,188.105,28.0,FS,7.4411,1.3582,67.1941,physics
2.185,3.914,0.452,-19.9,48.449,0.5,MC,0.0006,1069.1086,897939.411,physics
2.351,0.688,0.739,58.46,4.271,0.3,FS,0.0003,844.5583,1686786.1791,physics
1.301,0.846,0.535,61.44,48.872,0.3,SF,0.0013,565.0683,377249.1564,physics
3.362,0.565,1.235,-28.83,105.686,7.0,FS,0.1461,58.4496,3421.1723,physics
2.824,2.044,0.552,64.89,196.227,0.5,FF,0.0028,1130.0785,181739.0394,physics
1.863,0.478,1.041,68.42,21.629,28.0,FS,0.7273,1.8923,687.4476,physics
0.771,1.859,0.569,66.06,166.246,2.0,MC,0.0217,127.2811,23059.7962,physics
4.906,2.471,0.428,-17.75,143.493,0.7,SF,0.0025,559.3551,196518.5572,physics
1.552,0.362,0.999,-33.09,186.741,28.0,FS,4.4065,2.1496,113.4691,physics
4.947,2.784,0.527,84.29,39.03,1.0,FF,0.0011,679.9957,475531.5286,physics
4.345,1.76,0.924,20.72,178.008,28.0,MC,1.2908,6.2125,387.3632,physics
4.486,2.025,0.769,41.87,100.007,0.7,FS,0.0024,1335.4339,204367.2693,physics
4.03,3.676,0.543,59.4,164.646,3.0,FS,0.0238,109.691,21010.7614,physics
1.688,0.538,0.864,10.57,120.922,3.0,SF,0.039,119.2777,12833.0805,physics
3.486,1.855,0.675,103.56,71.159,7.0,SF,0.0764,23.7851,6544.571,physics
3.241,3.989,0.532,70.75,81.836,3.0,FS,0.0124,106.4467,40230.8547,physics
4.77,0.842,1.015,88.92,7.925,7.0,SS,0.0459,19.0565,10901.1211,physics
3.919,1.927,0.711,53.6,121.414,5.0,MC,0.0556,59.5165,8998.6195,physics
4.75,1.954,0.678,54.7,106.363,0.7,SF,0.0022,1208.9707,224468.1551,physics
3.29,1.361,0.457,81.39,100.31,2.0,SF,0.018,62.6521,27826.933,physics
0.695,3.909,0.653,-4.6,122.764,0.5,MC,0.002,1420.7638,255941.7828,physics
1.097,0.808,0.382,-11.51,142.961,0.7,SS,0.0174,61.3509,28790.5554,physics
3.379,3.591,0.675,7.91,60.691,2.0,TT,0.0026,631.0286,192564.2991,physics
3.993,2.617,0.723,-6.84,28.636,7.0,SF,0.0148,69.3741,33780.4974,physics
1.881,2.926,1.267,122.2,26.824,28.0,SS,0.2327,11.9239,2148.6468,physics
1.629,4.998,1.081,46.74,154.064,14.0,FS,0.1189,80.942,4204.5141,physics
0.732,1.688,0.694,36.86,103.955,14.0,TT,0.2572,10.0969,1943.7111,physics
3.242,1.033,0.765,31.38,182.232,0.5,SS,0.008,689.7276,62318.2559,physics
2.648,1.625,0.747,114.23,45.869,14.0,FS,0.2061,7.1405,2425.6402,physics
4.248,1.365,0.849,50.89,25.909,3.0,FF,0.0042,296.6293,117734.1439,physics
2.723,2.587,0.423,115.37,31.685,0.3,MC,0.0008,447.3097,621228.6113,physics
3.637,3.085,0.712,53.0,165.222,0.3,SS,0.0018,2468.7026,276606.7921,physics
0.342,3.261,0.996,67.44,153.625,14.0,SF,0.4497,17.5842,1111.8114,physics
3.238,2.565,0.62,7.8,191.373,0.3,SF,0.0011,3465.4337,449132.6811,physics
4.047,3.472,0.664,-27.96,12.923,5.0,SF,0.0033,168.3804,152522.0927,physics
2.483,1.14,0.703,11.58,143.954,1.0,MC,0.0068,541.1195,73095.9556,physics
4.88,0.784,0.585,52.67,64.504,2.0,SF,0.0147,85.9298,34101.2772,physics
1.425,1.352,0.708,7.88,77.446,14.0,FS,0.2508,8.1859,1993.4476,physics
1.332,4.347,0.48,14.03,115.96,1.0,FF,0.0015,955.7944,331577.8176,physics
3.844,2.567,0.783,42.3,62.4,5.0,SS,0.0326,68.4287,15346.0219,physics
4.733,2.601,1.23,-4.5,71.226,14.0,SS,0.1,62.8123,4999.4817,physics
2.535,4.429,0.86,37.65,107.801,3.0,SS,0.0107,413.1533,46933.5577,physics
0.774,1.433,0.583,26.54,10.003,1.0,SS,0.001,239.4577,519577.6606,physics
2.862,1.908,0.474,23.75,90.621,0.3,FS,0.0015,729.5372,330296.5565,physics
4.148,3.173,0.836,-18.77,20.24,3.0,FF,0.0012,946.5001,422719.913,physics
2.842,1.923,0.472,59.41,80.876,2.0,SS,0.0188,52.5156,26619.1156,physics
0.31,3.611,1.604,45.69,30.639,28.0,FS,0.3245,14.6501,1540.7439,physics
1.72,3.123,0.748,123.45,148.125,7.0,FF,0.0686,63.6053,7290.592,physics
1.762,4.167,0.579,76.94,60.658,0.3,SS,0.0007,1612.4614,685046.2428,physics
1.736,0.682,0.608,10.77,179.855,2.0,MC,0.0362,93.7791,13806.0153,physics
3.033,1.438,1.456,120.39,116.116,28.0,TT,0.854,15.3067,585.4932,physics
2.968,0.977,1.429,62.26,168.392,28.0,TT,1.4279,12.4953,350.1618,physics
0.274,4.749,0.56,-36.88,63.425,5.0,TT,0.0568,19.7295,8796.6418,physics
3.49,2.14,0.787,111.89,174.691,1.0,MC,0.0052,1087.3952,95538.6417,physics
3.564,2.666,1.361,124.69,96.196,28.0,SF,0.3608,27.2708,1385.8428,physics
4.789,2.379,0.667,50.14,135.498,2.0,MC,0.0101,325.33,49729.1684,physics
3.097,1.082,0.636,52.08,45.749,3.0,FF,0.0108,98.3035,46305.7314,physics
3.56,3.498,0.769,39.17,112.537,3.0,MC,0.0073,500.2323,68267.0365,physics
1.524,2.931,0.799,107.8,79.512,3.0,FF,0.0066,416.4956,75256.3736,physics
1.537,1.545,1.078,17.15,89.033,7.0,FF,0.0363,150.4041,13768.8316,physics
1.164,4.166,0.467,52.73,55.053,0.7,SS,0.0021,325.2752,234354.8918,physics
3.736,1.311,0.372,109.36,45.909,0.3,TT,0.0019,201.3725,269267.4156,physics
0.609,1.752,1.272,72.4,28.356,28.0,FS,0.215,12.1034,2325.9994,physics
2.106,4.685,1.177,38.78,40.692,7.0,FF,0.0067,532.9652,74507.4996,physics
1.513,0.437,0.784,67.63,47.212,2.0,MC,0.0216,71.6048,23135.2241,physics
4.577,0.999,1.682,-10.99,184.007,28.0,SF,0.7044,38.7558,709.8148,physics
1.029,3.783,0.725,7.76,8.456,0.7,FF,0.0001,3465.2699,4066988.1139,physics
3.062,4.653,0.494,34.97,128.621,0.3,FS,0.0009,1904.9492,553409.5628,physics
4.46,0.801,0.567,5.02,161.954,0.7,FF,0.0059,467.6454,85349.335,physics
3.688,3.294,1.081,-37.68,68.085,7.0,FF,0.0105,442.6321,47744.2683,physics
3.411,1.087,0.613,65.39,81.693,0.3,SF,0.0016,1073.0864,321078.143,physics
1.72,2.094,0.391,121.98,96.013,0.5,TT,0.0036,215.9077,138241.3678,physics
1.393,1.292,1.554,117.42,61.087,28.0,MC,0.4805,16.4388,1040.6372,physics
0.176,3.32,0.648,-29.75,24.527,0.3,FF,0.0005,1188.6092,938533.504,physics
2.098,2.587,1.187,76.09,62.885,7.0,SS,0.0502,98.8516,9960.8532,physics
1.914,1.221,1.027,38.9,91.541,3.0,FS,0.0188,271.189,26618.6659,physics
2.149,2.814,0.635,48.69,133.155,2.0,TT,0.0085,335.9743,59029.6244,physics
3.44,3.04,0.933,46.71,106.106,5.0,FF,0.0147,346.1193,34115.9576,physics
4.596,0.694,1.147,108.98,41.229,14.0,FS,0.2904,11.2681,1721.4791,physics
0.923,4.294,0.915,72.25,143.667,7.0,SF,0.0677,94.0155,7384.1911,physics
4.507,2.311,0.683,-18.23,83.669,14.0,FS,0.1518,14.5404,3292.9621,physics
2.847,3.413,1.108,-36.41,51.637,28.0,SS,0.1887,20.0741,2649.1009,physics
2.942,0.37,0.689,-29.48,198.831,5.0,SS,0.4896,9.8987,1021.2988,physics
0.275,2.133,0.681,86.36,195.688,0.7,MC,0.0139,333.0926,35989.7785,physics
